video_key,course_id,module_title,wave,technical_first_file,expected_master,status,bunny_collection,bunny_library_id,bunny_video_id,thumbnail_status,transcript_status,access_policy,published
"legging-1","minikurs-legging-morgen-overganger","Modul 1: Veikrysset","later","False","legging-1--v01--master.mp4","source-missing","depoet-minikurs","","","missing","script-ready","not-approved","False"
"legging-2","minikurs-legging-morgen-overganger","Modul 2: Leggetid","later","False","legging-2--v01--master.mp4","source-missing","depoet-minikurs","","","missing","script-ready","not-approved","False"
"legging-3","minikurs-legging-morgen-overganger","Modul 3: Morgen","later","False","legging-3--v01--master.mp4","source-missing","depoet-minikurs","","","missing","script-ready","not-approved","False"
"forskjellig-1","minikurs-staa-forskjellig","Modul 1: To voksne, to alarmsystemer","later","False","forskjellig-1--v01--master.mp4","source-missing","depoet-minikurs","","","missing","script-ready","not-approved","False"
"forskjellig-2","minikurs-staa-forskjellig","Modul 2: Barnet mellom to tempo","later","False","forskjellig-2--v01--master.mp4","source-missing","depoet-minikurs","","","missing","script-ready","not-approved","False"
"forskjellig-3","minikurs-staa-forskjellig","Modul 3: En liten avtale når dere er rolige","later","False","forskjellig-3--v01--master.mp4","source-missing","depoet-minikurs","","","missing","script-ready","not-approved","False"
"skole-1","minikurs-skolesamarbeid","Modul 1: Før møtet – samle deg før du samler saken","later","False","skole-1--v01--master.mp4","source-missing","depoet-minikurs","","","missing","script-ready","not-approved","False"
"skole-2","minikurs-skolesamarbeid","Modul 2: I møtet – tydelig uten skyttergrav","later","False","skole-2--v01--master.mp4","source-missing","depoet-minikurs","","","missing","script-ready","not-approved","False"
"skole-3","minikurs-skolesamarbeid","Modul 3: Etter møtet – fra prat til liten plan","later","False","skole-3--v01--master.mp4","source-missing","depoet-minikurs","","","missing","script-ready","not-approved","False"
"redd-1","minikurs-redd-miste-barnet","Modul 1: Når alarmen sier «jeg mister barnet»","later","False","redd-1--v01--master.mp4","source-missing","depoet-minikurs","","","missing","script-ready","not-approved","False"
"redd-2","minikurs-redd-miste-barnet","Modul 2: Skam, ansvar og det neste lille steget","later","False","redd-2--v01--master.mp4","source-missing","depoet-minikurs","","","missing","script-ready","not-approved","False"
"redd-3","minikurs-redd-miste-barnet","Modul 3: Ikke stå alene med det som er for stort","later","False","redd-3--v01--master.mp4","source-missing","depoet-minikurs","","","missing","script-ready","not-approved","False"
